Date : 2026-02-11 18:50:40
Directory : c:\Users\ajays\OneDrive\Desktop\project\healthdee
Total : 311 files,  35376 codes, 1300 comments, 5260 blanks, all 41936 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| components\doctor                                                                                                    |         31 |      1,389 |         57 |        202 |      1,648 |
| components\doctor (Files)                                                                                            |          2 |         47 |          0 |          9 |         56 |
| components\doctor\appointment                                                                                        |          2 |        144 |          8 |         17 |        169 |
| components\doctor\booking                                                                                            |         14 |        577 |         29 |         81 |        687 |
| components\doctor\booking (Files)                                                                                    |          6 |        297 |         13 |         43 |        353 |
| components\doctor\booking\confirmation                                                                               |          8 |        280 |         16 |         38 |        334 |
| components\doctor\dashboard                                                                                          |          6 |        242 |          9 |         39 |        290 |
| components\doctor\earnings                                                                                           |          2 |        133 |          3 |         16 |        152 |
| components\doctor\prescriptions                                                                                      |          1 |         84 |          8 |         11 |        103 |
| components\doctor\settings                                                                                           |          4 |        162 |          0 |         29 |        191 |
| components\help                                                                                                      |          2 |         58 |          0 |         10 |         68 |
| components\home                                                                                                      |          7 |        629 |         45 |         57 |        731 |
| components\layout                                                                                                    |          2 |        178 |         14 |         21 |        213 |
| components\patient                                                                                                   |         12 |        444 |          0 |         59 |        503 |
| components\ui                                                                                                        |         15 |        958 |          1 |        121 |      1,080 |
| db                                                                                                                   |          3 |        378 |         36 |         50 |        464 |
| docs                                                                                                                 |          2 |      5,344 |          0 |      2,659 |      8,003 |
| drizzle                                                                                                              |          5 |      2,907 |         16 |          1 |      2,924 |
| drizzle (Files)                                                                                                      |          2 |        180 |         16 |          1 |        197 |
| drizzle\meta                                                                                                         |          3 |      2,727 |          0 |          0 |      2,727 |
| hooks                                                                                                                |          4 |          4 |          0 |          4 |          8 |
| lib                                                                                                                  |          6 |        160 |         27 |         47 |        234 |
| scripts                                                                                                              |          1 |         81 |         15 |         14 |        110 |
| server                                                                                                               |         69 |      4,025 |        742 |        970 |      5,737 |
| server\constants                                                                                                     |          3 |         20 |          0 |          6 |         26 |
| server\db                                                                                                            |          1 |          6 |          4 |          4 |         14 |
| server\domain                                                                                                        |         11 |        587 |        203 |        136 |        926 |
| server\http                                                                                                          |          2 |        109 |         14 |         17 |        140 |
| server\middleware                                                                                                    |          2 |         47 |          0 |         16 |         63 |
| server\policies                                                                                                      |         15 |        378 |        119 |        111 |        608 |
| server\policies (Files)                                                                                              |          6 |        175 |         71 |         55 |        301 |
| server\policies\access                                                                                               |          5 |        150 |         13 |         36 |        199 |
| server\policies\fields                                                                                               |          1 |         41 |         23 |         11 |         75 |
| server\policies\guards                                                                                               |          3 |         12 |         12 |          9 |         33 |
| server\rate-limit                                                                                                    |          3 |         61 |          0 |         15 |         76 |
| server\repositories                                                                                                  |          6 |      1,038 |         93 |        225 |      1,356 |
| server\services                                                                                                      |          8 |      1,201 |        186 |        286 |      1,673 |
| server\types                                                                                                         |          1 |          9 |          0 |          2 |         11 |
| server\utils                                                                                                         |          8 |        356 |        102 |         97 |        555 |
| server\validators                                                                                                    |          9 |        213 |         21 |         55 |        289 |
+----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                             | language           | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\.eslintrc.json                                                     | JSON with Comments |         73 |          7 |          8 |         88 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\AGENTS.md                                                          | Markdown           |        186 |          0 |         55 |        241 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\README.md                                                          | Markdown           |         42 |          0 |         16 |         58 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\(public)\(login-signup)\forgot-password\page.tsx               | TypeScript JSX     |          4 |          0 |          2 |          6 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\(public)\(login-signup)\layout.tsx                             | TypeScript JSX     |         55 |          5 |         11 |         71 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\(public)\(login-signup)\login\page.tsx                         | TypeScript JSX     |          4 |          0 |          2 |          6 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\(public)\(login-signup)\reset-password\page.tsx                | TypeScript JSX     |          6 |          0 |          4 |         10 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\(public)\(login-signup)\signup\page.tsx                        | TypeScript JSX     |          4 |          0 |          2 |          6 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\(public)\(login-signup)\verify-email\page.tsx                  | TypeScript JSX     |         25 |          2 |          8 |         35 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\(public)\about\page.tsx                                        | TypeScript JSX     |         20 |          1 |          2 |         23 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\(public)\help\page.tsx                                         | TypeScript JSX     |        114 |          7 |         12 |        133 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\(public)\page.tsx                                              | TypeScript JSX     |          9 |          0 |          1 |         10 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\(public)\policies\page.tsx                                     | TypeScript JSX     |          9 |          0 |          1 |         10 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\(public)\select-role\page.tsx                                  | TypeScript JSX     |         10 |          0 |          2 |         12 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\Header.tsx                                                     | TypeScript JSX     |          0 |          0 |          1 |          1 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\admin\api\doctors\[id]\route.ts                                | TypeScript         |         90 |         12 |         24 |        126 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\admin\api\doctors\route.ts                                     | TypeScript         |        119 |          8 |         23 |        150 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\admin\appointment-requests\page.tsx                            | TypeScript JSX     |         67 |          4 |          7 |         78 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\admin\clinics\page.tsx                                         | TypeScript JSX     |         69 |          4 |          7 |         80 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\admin\dashboard\page.tsx                                       | TypeScript JSX     |          9 |          0 |          1 |         10 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\admin\doctor\[doctorId]\edit\page.tsx                          | TypeScript JSX     |         46 |          0 |          7 |         53 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\admin\doctor\create\page.tsx                                   | TypeScript JSX     |         16 |          0 |          3 |         19 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\admin\doctor\page.tsx                                          | TypeScript JSX     |         32 |          0 |          6 |         38 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\admin\doctors-verification\page.tsx                            | TypeScript JSX     |         59 |          4 |          7 |         70 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\admin\layout.tsx                                               | TypeScript JSX     |         34 |          9 |          8 |         51 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\admin\page.tsx                                                 | TypeScript JSX     |         10 |          0 |          2 |         12 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\admin\settings\page.tsx                                        | TypeScript JSX     |          9 |          0 |          1 |         10 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\admin\users\page.tsx                                           | TypeScript JSX     |          9 |          0 |          1 |         10 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\admin\metrics\route.ts                                     | TypeScript         |         23 |          8 |          8 |         39 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\appointments\[id]\route.ts                                 | TypeScript         |         53 |         23 |         18 |         94 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\appointments\route.ts                                      | TypeScript         |         51 |         17 |         19 |         87 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\auth\login\route.ts                                        | TypeScript         |         53 |          3 |         12 |         68 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\auth\logout\route.ts                                       | TypeScript         |          9 |          0 |          2 |         11 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\auth\me\route.ts                                           | TypeScript         |         15 |          7 |          4 |         26 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\auth\otp\request\route.ts                                  | TypeScript         |         16 |          0 |          5 |         21 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\auth\otp\verify\route.ts                                   | TypeScript         |         21 |          0 |          5 |         26 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\auth\refresh\route.ts                                      | TypeScript         |         17 |          0 |          4 |         21 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\auth\register\route.ts                                     | TypeScript         |         27 |          0 |          7 |         34 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\doctors\[id]\route.ts                                      | TypeScript         |         45 |          2 |         16 |         63 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\doctors\[id]\verify\route.ts                               | TypeScript         |         40 |         11 |         11 |         62 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\doctors\route.ts                                           | TypeScript         |         43 |          2 |         13 |         58 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\health\route.ts                                            | TypeScript         |         11 |          1 |          3 |         15 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\patients\[id]\route.ts                                     | TypeScript         |         77 |          8 |         23 |        108 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\patients\route.ts                                          | TypeScript         |         24 |          4 |          9 |         37 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\users\[id]\route.ts                                        | TypeScript         |         68 |          2 |         19 |         89 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\users\route.ts                                             | TypeScript         |         22 |          0 |          7 |         29 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\clinics\[id]\ClinicDetails.tsx                                 | TypeScript JSX     |         58 |          0 |          8 |         66 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\clinics\[id]\ClinicDoctors.tsx                                 | TypeScript JSX     |         68 |          2 |          8 |         78 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\clinics\[id]\ClinicHero.tsx                                    | TypeScript JSX     |         57 |          6 |          8 |         71 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\clinics\[id]\ClinicPageLayout.tsx                              | TypeScript JSX     |         31 |          2 |          5 |         38 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\clinics\[id]\ClinicServices.tsx                                | TypeScript JSX     |         29 |          2 |          5 |         36 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\clinics\[id]\ClinicSidebar.tsx                                 | TypeScript JSX     |         79 |          3 |         10 |         92 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\clinics\[id]\ClinicSummary.tsx                                 | TypeScript JSX     |         57 |          0 |          8 |         65 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\clinics\[id]\page.tsx                                          | TypeScript JSX     |        102 |          0 |          7 |        109 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\clinics\page.tsx                                               | TypeScript JSX     |          9 |          0 |          1 |         10 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\context\AuthContext.tsx                                        | TypeScript JSX     |        100 |         25 |         23 |        148 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\doctor\appointments\[id]\page.tsx                              | TypeScript JSX     |        114 |          9 |         15 |        138 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\doctor\appointments\page.tsx                                   | TypeScript JSX     |         50 |          3 |          6 |         59 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\doctor\dashboard\error.tsx                                     | TypeScript JSX     |         25 |          0 |          4 |         29 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\doctor\dashboard\loading.tsx                                   | TypeScript JSX     |         13 |          0 |          3 |         16 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\doctor\dashboard\page.tsx                                      | TypeScript JSX     |         23 |          5 |          5 |         33 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\doctor\earnings\page.tsx                                       | TypeScript JSX     |         18 |          3 |          4 |         25 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\doctor\layout.tsx                                              | TypeScript JSX     |         19 |          4 |          4 |         27 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\doctor\onboarding\page.tsx                                     | TypeScript JSX     |          9 |          0 |          1 |         10 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\doctor\prescriptions\page.tsx                                  | TypeScript JSX     |         25 |          2 |          4 |         31 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\doctor\settings\page.tsx                                       | TypeScript JSX     |         17 |          0 |          3 |         20 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\doctor\verification\page.tsx                                   | TypeScript JSX     |          9 |          0 |          1 |         10 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\doctors\booking\confirmation\page.tsx                          | TypeScript JSX     |         40 |          6 |         10 |         56 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\doctors\booking\layout.tsx                                     | TypeScript JSX     |          8 |          0 |          2 |         10 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\doctors\booking\page.tsx                                       | TypeScript JSX     |         26 |          0 |          5 |         31 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\error.tsx                                                      | TypeScript JSX     |         27 |          0 |          5 |         32 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\globals.css                                                    | PostCSS            |        153 |          8 |         14 |        175 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\layout.tsx                                                     | TypeScript JSX     |         52 |          2 |          5 |         59 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\loading.tsx                                                    | TypeScript JSX     |          7 |          0 |          1 |          8 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\notfound.tsx                                                   | TypeScript JSX     |         14 |          0 |          1 |         15 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\page.tsx                                                       | TypeScript JSX     |         24 |          0 |          1 |         25 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\patient\appointments\book\page.tsx                             | TypeScript JSX     |          9 |          0 |          1 |         10 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\patient\appointments\page.tsx                                  | TypeScript JSX     |          9 |          0 |          1 |         10 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\patient\dashboard\page.tsx                                     | TypeScript JSX     |         17 |          0 |          2 |         19 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\patient\layout.tsx                                             | TypeScript JSX     |         36 |         11 |         10 |         57 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\patient\profile\page.tsx                                       | TypeScript JSX     |          9 |          0 |          1 |         10 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\patient\records\page.tsx                                       | TypeScript JSX     |          9 |          0 |          1 |         10 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\services\auth.service.ts                                       | TypeScript         |         76 |         25 |         23 |        124 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\types\auth.tsx                                                 | TypeScript JSX     |         30 |          7 |          7 |         44 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components.json                                                    | JSON               |         23 |          0 |          1 |         24 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\about\about-hero\AboutHero.tsx                          | TypeScript JSX     |         19 |          4 |          7 |         30 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\about\about-hero\HeroContent.tsx                        | TypeScript JSX     |         25 |          1 |          4 |         30 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\about\core-values\CoreValues.tsx                        | TypeScript JSX     |         42 |          1 |          4 |         47 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\about\core-values\ValueCard.tsx                         | TypeScript JSX     |         23 |          4 |          5 |         32 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\about\final-cta\FinalCTA.tsx                            | TypeScript JSX     |         32 |          1 |          4 |         37 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\about\impact-stats\ImpactCard.tsx                       | TypeScript JSX     |         32 |          1 |          3 |         36 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\about\impact-stats\StatCard.tsx                         | TypeScript JSX     |         16 |          1 |          2 |         19 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\about\our-story\ImpactInlineStats.tsx                   | TypeScript JSX     |         30 |          1 |          2 |         33 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\about\our-story\OurStory.tsx                            | TypeScript JSX     |         12 |          1 |          2 |         15 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\about\our-story\StoryContent.tsx                        | TypeScript JSX     |         30 |          5 |          6 |         41 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\about\our-story\StoryImageCard.tsx                      | TypeScript JSX     |         18 |          1 |          3 |         22 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\about\trust-badges\BadgeItem.tsx                        | TypeScript JSX     |         15 |          1 |          3 |         19 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\about\trust-badges\TrustBadges.tsx                      | TypeScript JSX     |         45 |          3 |          4 |         52 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\admin\AdminSidebar.tsx                                  | TypeScript JSX     |         52 |          3 |         10 |         65 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\admin\AdminTopBar.tsx                                   | TypeScript JSX     |         25 |          2 |          6 |         33 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\admin\RecentActivity.tsx                                | TypeScript JSX     |         87 |          0 |          7 |         94 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\admin\StatsCard.tsx                                     | TypeScript JSX     |         36 |          0 |          4 |         40 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\admin\StatsGrid.tsx                                     | TypeScript JSX     |         98 |          9 |         15 |        122 |
